Infinitive,Partizip II,Hilfsverb
uploaden,upgeloadet,haben
hochladen,hochgeladen,haben
einschließen,eingeschlossen,haben
hinnehmen,hingenommen,haben
dulden,geduldet,haben
unterbinden,unterbunden,haben
vermeiden,vermieden,haben
verloben,verlobt,haben
geboren werden,geboren worden,sein
abhauen,abgehauen,haben
airbrushen,geairbrusht,haben
illustrieren,illustriert,haben
erstrecken,erstreckt,haben
beantragen,beantragt,haben
erleichtern,erleichtert,haben
kreiden,gekreidet,haben
abschlagen,abgeschlagen,haben
schwurbeln,geschwurbelt,haben
weben,gewebt,haben
lehnen,gelehnt,haben
lavieren,laviert,haben
ausarbeiten,ausgearbeitet,haben
erschließen,erschlossen,haben
säen,gesät,haben
canceln,gecancelt,haben
plündern,geplündert,haben
ausmustern,ausgemustert,haben
abstimmen,abgestimmt,haben
rotieren,rotiert,haben
verzeihen,verziehen,haben
verfolgen,verfolgt,haben
senken,gesenkt,haben
duschen,geduscht,haben
beruhigen,beruhigt,haben
lithographieren,lithographiert,haben
lithografieren,lithografiert,haben
kennzeichnen,gekennzeichnet,haben
wischen,gewischt,haben
kritisieren,kritisiert,haben
teilnehmen,teilgenommen,haben
kaschen,gekascht,haben
anmelden,angemeldet,haben
verschließen,verschlossen,haben
summieren,summiert,haben
schubsen,geschubst,haben
hervorrufen,hervorgerufen,haben
pupsen,gepupst,haben
arrivieren,arriviert,sein
austauschen,ausgetauscht,haben
umsetzen,umgesetzt,haben
festsetzen,festgesetzt,haben
verfallen,verfallen,sein
gefährden,gefährdet,haben
aufmachen,aufgemacht,haben
überzeugen,überzeugt,haben
klappern,geklappert,haben
dünsten,gedünstet,haben
geifern,gegeifert,haben
hineindenken,hineingedacht,haben
verbarrikadieren,verbarrikadiert,haben
porträtieren,porträtiert,haben
investieren,investiert,haben
kurbeln,gekurbelt,haben
reinziehen,reingezogen,haben
plaudern,geplaudert,haben
auffallen,aufgefallen,sein
salutieren,salutiert,haben
ausrasten,ausgerastet,sein
feilschen,gefeilscht,haben
verbitten,verbeten,haben
importieren,importiert,haben
rappen,gerappt,haben
erraten,erraten,haben
nachsagen,nachgesagt,haben
pulverisieren,pulverisiert,haben
krabbeln,gekrabbelt,sein
übertreiben,übertrieben,haben
partizipieren,partizipiert,haben
grüßen,gegrüßt,haben
vorziehen,vorgezogen,haben
beackern,beackert,haben
ausschlafen,ausgeschlafen,haben
radieren,radiert,haben
fusionieren,fusioniert,haben
ergattern,ergattert,haben
speisen,gespeist,haben
mäandrieren,mäandriert,haben
erwähnen,erwähnt,haben
lemmatisieren,lemmatisiert,haben
bardieren,bardiert,haben
kassibern,kassibert,haben
ausbeinen,ausgebeint,haben
anranzen,angeranzt,haben
absahnen,abgesahnt,haben
einsehen,eingesehen,haben
nappieren,nappiert,haben
vermehren,vermehrt,haben
umbenennen,umbenannt,haben
übersteigen,überstiegen,haben
einlaufen,eingelaufen,sein
flunkern,geflunkert,haben
diluieren,diluiert,haben
frappieren,frappiert,haben
aufschweißen,aufgeschweißt,haben
herüberfahren,herübergefahren,sein
dölmern,gedölmert,haben
verdutzen,verdutzt,haben
zurückzucken,zurückgezuckt,sein
aufstocken,aufgestockt,haben
tüddeln,getüddelt,haben
mahnen,gemahnt,haben
verknoten,verknotet,haben
ausschlachten,ausgeschlachtet,haben
fortloben,fortgelobt,haben
herumlaufen,herumgelaufen,sein
aufdrängen,aufgedrängt,haben
zusammenleben,zusammengelebt,haben
emittieren,emittiert,haben
einlasten,eingelastet,haben
entschlagen,entschlagen,haben
fakturieren,fakturiert,haben
beitragen,beigetragen,haben
flektieren,flektiert,haben
konjugieren,konjugiert,haben
formatieren,formatiert,haben
starren,gestarrt,haben
zürnen,gezürnt,haben
einprägen,eingeprägt,haben
anlächeln,angelächelt,haben
vermögen,vermocht,haben
zerreißen,zerrissen,haben
kleckern,gekleckert,haben
einweihen,eingeweiht,haben
erproben,erprobt,haben
abrücken,abgerückt,sein
triagieren,triagiert,haben
lästern,gelästert,haben
auftakeln,aufgetakelt,haben
trielen,getrielt,haben
zerlassen,zerlassen,haben
abwerfen,abgeworfen,haben
verschleiern,verschleiert,haben
zugehen,zugegangen,sein
herumzeigen,herumgezeigt,haben
eingreifen,eingegriffen,haben
sträuben,gesträubt,haben
anflehen,angefleht,haben
auslachen,ausgelacht,haben
geraten,geraten,sein
verunsichern,verunsichert,haben
stopfen,gestopft,haben
verstrahlen,verstrahlt,haben
pfropfen,gepfropft,haben
abwägen,abgewogen,haben
versprengen,versprengt,haben
sondieren,sondiert,haben
nölen,genölt,haben
frittieren,frittiert,haben
zögern,gezögert,haben
vibrieren,vibriert,haben
kämmen,gekämmt,haben
signieren,signiert,haben
rasieren,rasiert,haben
pusten,gepustet,haben
inkriminieren,inkriminiert,haben
erleben,erlebt,haben
locken,gelockt,haben
schmücken,geschmückt,haben
dengeln,gedengelt,haben
signalisieren,signalisiert,haben
quarzen,gequarzt,haben
variieren,variiert,haben
härten,gehärtet,haben
pressieren,pressiert,haben
pflanzen,gepflanzt,haben
aufkleben,aufgeklebt,haben
stöbern,gestöbert,haben
blockieren,blockiert,haben
repräsentieren,repräsentiert,haben
durchhängen,durchgehangen,haben
verpacken,verpackt,haben
trotzen,getrotzt,haben
anfahren,angefahren,haben
begehren,begehrt,haben
konsumieren,konsumiert,haben
ernähren,ernährt,haben
exmatrikulieren,exmatrikuliert,haben
dezidieren,dezidiert,haben
reduzieren,reduziert,haben
verfilzen,verfilzt,haben
verüben,verübt,haben
kreuzen,gekreuzt,haben
flechten,geflochten,haben
meditieren,meditiert,haben
kandieren,kandiert,haben
vereitern,vereitert,sein
verkümmern,verkümmert,sein
vorbereiten,vorbereitet,haben
bügeln,gebügelt,haben
glätten,geglättet,haben
borgen,geborgt,haben
dealen,gedealt,haben
klären,geklärt,haben
stoppen,gestoppt,haben
zweifeln,gezweifelt,haben
vermissen,vermisst,haben
abschicken,abgeschickt,haben
liefern,geliefert,haben
reimen,gereimt,haben
verschweigen,verschwiegen,haben
vorbeifahren,vorbeigefahren,sein
randalieren,randaliert,haben
basieren,basiert,haben
bemängeln,bemängelt,haben
kribbeln,gekribbelt,haben
absetzen,abgesetzt,haben
fasten,gefastet,haben
züchten,gezüchtet,haben
krachen,gekracht,haben
feststellen,festgestellt,haben
festlegen,festgelegt,haben
erstellen,erstellt,haben
verhören,verhört,haben
untertreiben,untertrieben,haben
raven,geravt,haben
polieren,poliert,haben
erhitzen,erhitzt,haben
shorten,geshortet,haben
perhorreszieren,perhorresziert,haben
abhalten,abgehalten,haben
schraffieren,schraffiert,haben
gaumen,gegaumt,haben
abkühlen,abgekühlt,haben
organisieren,organisiert,haben
schauspielern,geschauspielert,haben
einräumen,eingeräumt,haben
vorrücken,vorgerückt,sein
paginieren,paginiert,haben
preisen,gepriesen,haben
anheben,angehoben,haben
schütteln,geschüttelt,haben
schnitzen,geschnitzt,haben
unterteufen,unterteuft,haben
rutschen,gerutscht,sein
einreichen,eingereicht,haben
beschmutzen,beschmutzt,haben
mosern,gemosert,haben
verschwenden,verschwendet,haben
killen,gekillt,haben
verteidigen,verteidigt,haben
spannen,gespannt,haben
erstechen,erstochen,haben
warnen,gewarnt,haben
vermischen,vermischt,haben
ausstatten,ausgestattet,haben
abgrenzen,abgegrenzt,haben
pochieren,pochiert,haben
abkündigen,abgekündigt,haben
subskribieren,subskribiert,haben
objektivieren,objektiviert,haben
gönnen,gegönnt,haben
ordnen,geordnet,haben
rösten,geröstet,haben
abseihen,abgeseiht,haben
explodieren,explodiert,sein
verstreichen,verstrichen,haben
schwängern,geschwängert,haben
formulieren,formuliert,haben
einweisen,eingewiesen,haben
montieren,montiert,haben
zanken,gezankt,haben
marinieren,mariniert,haben
filetieren,filetiert,haben
verirren,verirrt,haben
verspäten,verspätet,haben
einmischen,eingemischt,haben
nominieren,nominiert,haben
verordnen,verordnet,haben
amputieren,amputiert,haben
rochieren,rochiert,haben
wegräumen,weggeräumt,haben
vergeigen,vergeigt,haben
erschrecken,erschreckt,haben
aufsticken,aufgestickt,haben
stapeln,gestapelt,haben
vereisen,vereist,sein
herumkramen,herumgekramt,haben
zusammenarbeiten,zusammengearbeitet,haben
aufteen,aufgeteet,haben
spuken,gespukt,haben
zusammenkratzen,zusammengekratzt,haben
popeln,gepopelt,haben
entwalden,entwaldet,haben
gleichtun,gleichgetan,haben
herumplagen,herumgeplagt,haben
bedanken,bedankt,haben
zusammenrechnen,zusammengerechnet,haben
kontaktieren,kontaktiert,haben
überfahren,überfahren,haben
deuten,gedeutet,haben
umpolen,umgepolt,haben
verfressen,verfressen,haben
zusammensparen,zusammengespart,haben
einiggehen,einiggegangen,sein
aufzwirbeln,aufgezwirbelt,haben
kondensieren,kondensiert,haben
anstehen,angestanden,haben
klingeln,geklingelt,haben
abstützen,abgestützt,haben
abschrecken,abgeschreckt,haben
angehen,angegangen,sein
andauern,angedauert,haben
ausladen,ausgeladen,haben
ausschließen,ausgeschlossen,haben
ausnutzen,ausgenutzt,haben
roboten,gerobotet,haben
regulieren,reguliert,haben
konterfeien,gekonterfeit,haben
becircen,becirct,haben
absagen,abgesagt,haben
abwiegen,abgewogen,haben
gegenlesen,gegengelesen,haben
salzen,gesalzen,haben
aufhängen,aufgehängt,haben
prägen,geprägt,haben
beschönigen,beschönigt,haben
vergackeiern,vergackeiert,haben
vermaledeien,vermaledeit,haben
glücken,geglückt,sein
schwäbeln,geschwäbelt,haben
herunterfallen,heruntergefallen,sein
runterfallen,runtergefallen,sein
dressieren,dressiert,haben
fotografieren,fotografiert,haben
maledeien,maledeit,haben
kreisen,gekreist,sein
kooperieren,kooperiert,haben
vergewissern,vergewissert,haben
wehtun,wehgetan,haben
rechtschreiben,rechtgeschrieben,—
krähen,gekräht,haben
aktivieren,aktiviert,haben
spechteln,gespechtelt,haben
aktualisieren,aktualisiert,haben
errichten,errichtet,haben
bremsen,gebremst,haben
verschreien,verschrien,haben
miterleben,miterlebt,haben
raufen,gerauft,haben
entfalten,entfaltet,haben
bähen,gebäht,haben
begnügen,begnügt,haben
anheimstellen,anheimgestellt,haben
blanchieren,blanchiert,haben
verstatten,verstattet,haben
aufweisen,aufgewiesen,haben
aneignen,angeeignet,haben
einwickeln,eingewickelt,haben
anstreben,angestrebt,haben
streben,gestrebt,haben
anvertrauen,anvertraut,haben
aufwenden,aufgewandt,haben
verdauen,verdaut,haben
ausrutschen,ausgerutscht,sein
aufkreuzen,aufgekreuzt,sein
simplifizieren,simplifiziert,haben
versammeln,versammelt,haben
hegen,gehegt,haben
feixen,gefeixt,haben
quantifizieren,quantifiziert,haben
xerographieren,xerographiert,sein
relaxen,relaxt,haben
überwachen,überwacht,haben
golfen,gegolft,haben
trösten,getröstet,haben
abschieben,abgeschoben,haben
blamieren,blamiert,haben
vortragen,vorgetragen,haben
schwelen,geschwelt,haben
vergittern,vergittert,haben
monogrammieren,monogrammiert,haben
ausbaden,ausgebadet,haben
fuchteln,gefuchtelt,haben
beulen,gebeult,haben
schnaufen,geschnauft,haben
blaffen,geblafft,haben
aufbäumen,aufgebäumt,haben
mixen,gemixt,haben
aufprallen,aufgeprallt,sein
sprinten,gesprintet,sein
bewerben,beworben,haben
schnalzen,geschnalzt,haben
dämmern,gedämmert,haben
drohen,gedroht,haben
stottern,gestottert,haben
alphabetisieren,alphabetisiert,haben
kollaborieren,kollaboriert,haben
vernarben,vernarbt,sein
zeugen,gezeugt,haben
zischen,gezischt,haben
verwaisen,verwaist,sein
komplimentieren,komplimentiert,haben
vergreisen,vergreist,sein
einbläuen,eingebläut,haben
abkrüppeln,abgekrüppelt,sein
abgräbeln,abgegräbelt,sein
abern,geabert,haben
marachen,maracht,haben
spiegeln,gespiegelt,haben
separieren,separiert,haben
exkommunizieren,exkommuniziert,haben
tölten,getöltet,haben
anbiedern,angebiedert,haben
verhohnepiepeln,verhohnepiepelt,haben
abgehen,abgegangen,sein
kontern,gekontert,haben
kaschieren,kaschiert,haben
grabschen,gegrabscht,haben
flöten gehen,flöten gegangen,sein
einspeisen,eingespeist,haben
rammen,gerammt,haben
persiflieren,persifliert,haben
widerspiegeln,widergespiegelt,haben
äpfeln,geäpfelt,haben
hunzen,gehunzt,haben
initialisieren,initialisiert,haben
bröckeln,gebröckelt,sein
mogeln,gemogelt,haben
protrahieren,protrahiert,haben
aufpassen,aufgepasst,haben
hecheln,gehechelt,haben
verfechten,verfochten,haben
schänden,geschändet,haben
genieren,geniert,haben
plissieren,plissiert,haben
mikroskopieren,mikroskopiert,haben
prognostizieren,prognostiziert,haben
saldieren,saldiert,haben
bewundern,bewundert,haben
abtragen,abgetragen,haben
straffen,gestrafft,haben
fliesen,gefliest,haben
hervorgehen,hervorgegangen,sein
zurückhalten,zurückgehalten,haben
skizzieren,skizziert,haben
fortschicken,fortgeschickt,haben
zaudern,gezaudert,haben
fußen,gefußt,haben
misslingen,misslungen,sein
spendieren,spendiert,haben
bewerkstelligen,bewerkstelligt,haben
konsekrieren,konsekriert,haben
weigern,geweigert,haben
umfangen,umfangen,haben
brillieren,brilliert,haben
austrinken,ausgetrunken,haben
entweihen,entweiht,haben
trassieren,trassiert,haben
akkommodieren,akkommodiert,haben
einmahnen,eingemahnt,haben
nieseln,genieselt,haben
erbittern,erbittert,haben
identifizieren,identifiziert,haben
dinieren,diniert,haben
schlenzen,geschlenzt,haben
entgräten,entgrätet,haben
befleißen,beflissen,haben
gestatten,gestattet,haben
befolgen,befolgt,haben
zusprechen,zugesprochen,haben
einimpfen,eingeimpft,haben
erneuern,erneuert,haben
socken,gesockt,sein
drängen,gedrängt,haben
normieren,normiert,haben
kommentieren,kommentiert,haben
schwören,geschworen,haben
überwinden,überwunden,haben
verschaffen,verschafft,haben
einatmen,eingeatmet,haben
konfiszieren,konfisziert,haben
ausatmen,ausgeatmet,haben
ausloben,ausgelobt,haben
plädieren,plädiert,haben
baggern,gebaggert,haben
verarbeiten,verarbeitet,haben
siechen,gesiecht,haben
schnucken,geschnuckt,haben
einschmeicheln,eingeschmeichelt,haben
einbringen,eingebracht,haben
erstehen,erstanden,haben
antreiben,angetrieben,haben
präsentieren,präsentiert,haben
misstrauen,misstraut,haben
abfinden,abgefunden,haben
lauten,gelautet,haben
innewohnen,innegewohnt,haben
bewehren,bewehrt,haben
kommunizieren,kommuniziert,haben
verrohren,verrohrt,haben
aufdrehen,aufgedreht,haben
sächseln,gesächselt,haben
pendeln,gependelt,haben
umreißen,umgerissen,haben
einwirken,eingewirkt,haben
aufladen,aufgeladen,haben
wegdrücken,weggedrückt,haben
internieren,interniert,haben
übergehen,übergegangen,sein
einstimmen,eingestimmt,haben
schwanken,geschwankt,sein
schwenken,geschwenkt,haben
entschuldigen,entschuldigt,haben
verschriften,verschriftet,haben
giggeln,gegiggelt,haben
hinterfragen,hinterfragt,haben
hochheben,hochgehoben,haben
beziffern,beziffert,haben
hinsetzen,hingesetzt,haben
herunternehmen,heruntergenommen,haben
hinhalten,hingehalten,haben
rekrutieren,rekrutiert,haben
bezwingen,bezwungen,haben
beanspruchen,beansprucht,haben
neigen,geneigt,haben
benachrichtigen,benachrichtigt,haben
kennenlernen,kennengelernt,haben
grummeln,gegrummelt,haben
umgeben,umgegeben,haben
betragen,betragen,haben
abschreiben,abgeschrieben,haben
geloben,gelobt,haben
sinnen,gesonnen,haben
vorherrschen,vorgeherrscht,haben
kulminieren,kulminiert,haben
dezimieren,dezimiert,sein
schlendern,geschlendert,sein
abkratzen,abgekratzt,haben
brüten,gebrütet,haben
zerbeulen,zerbeult,haben
scrollen,gescrollt,haben
veräußern,veräußert,haben
wittern,gewittert,haben
aufreiben,aufgerieben,haben
behelfen,beholfen,haben
schrillen,geschrillt,haben
zappen,gezappt,haben
zurückbilden,zurückgebildet,haben
foltern,gefoltert,haben
parsen,geparst,haben
erkälten,erkältet,haben
debridieren,debridiert,haben
erklimmen,erklommen,haben
scheitern,gescheitert,sein
schludern,geschludert,haben
evaporisieren,evaporisiert,haben
bezichtigen,bezichtigt,haben
blitzen,geblitzt,haben
verspielen,verspielt,haben
elizitieren,elizitiert,haben
jäten,gejätet,haben
abängstigen,abgeängstigt,haben
ängstigen,geängstigt,haben
abäsen,abgeäst,haben
traktandieren,traktandiert,haben
abatmen,abgeatmet,haben
verwirklichen,verwirklicht,haben
ordern,geordert,haben
quadräteln,quadrätelt,haben
karessieren,karessiert,haben
anlocken,angelockt,haben
verhohnepipeln,verhohnepipelt,haben
abätzen,abgeätzt,haben
parkieren,parkiert,haben
rechten,gerechtet,haben
pilgern,gepilgert,sein
gewährleisten,gewährleistet,haben
changieren,changiert,haben
nören,genört,haben
abbaggern,abgebaggert,haben
thronen,gethront,haben
wiederherstellen,wiederhergestellt,haben
versenden,versandt,haben
abbehalten,abbehalten,haben
abbetteln,abgebettelt,haben
abbeuteln,abgebeutelt,haben
abbimsen,abgebimst,haben
externalisieren,externalisiert,haben
spurten,gespurtet,haben
determinieren,determiniert,haben
manifestieren,manifestiert,haben
definieren,definiert,haben
einschieben,eingeschoben,haben
beeilen,beeilt,haben
auswerten,ausgewertet,haben
entspringen,entsprungen,sein
durchfließen,durchflossen,haben
abheben,abgehoben,haben
pilotieren,pilotiert,haben
auswählen,ausgewählt,haben
enden,geendet,haben
abtreten,abgetreten,haben
beziehen,bezogen,haben
erteilen,erteilt,haben
stattfinden,stattgefunden,haben
gefallen,gefallen,haben
aufstellen,aufgestellt,haben
instruieren,instruiert,haben
anlangen,angelangt,sein
beraten,beraten,haben
präferieren,präferiert,haben
befestigen,befestigt,haben
festigen,gefestigt,haben
zusammensetzen,zusammengesetzt,haben
suggerieren,suggeriert,haben
anordnen,angeordnet,haben
beichten,gebeichtet,haben
fälschen,gefälscht,haben
entlohnen,entlohnt,haben
schlucken,geschluckt,haben
einbauen,eingebaut,haben
resultieren,resultiert,haben
strafen,gestraft,haben
desachalandieren,desachalandiert,haben
berichten,berichtet,haben
gewähren,gewährt,haben
zurückgehen,zurückgegangen,sein
verborgen,verborgt,haben
ankündigen,angekündigt,haben
anfertigen,angefertigt,haben
fertigen,gefertigt,haben
vorlegen,vorgelegt,haben
beeinflussen,beeinflusst,haben
wullacken,gewullackt,haben
böllern,geböllert,haben
schuften,geschuftet,haben
forschen,geforscht,haben
herrschen,geherrscht,haben
ausbleiben,ausgeblieben,sein
wuracken,gewurackt,haben
beherrschen,beherrscht,haben
gründen,gegründet,haben
begründen,begründet,haben
zugeben,zugegeben,haben
aufbauen,aufgebaut,haben
stagnieren,stagniert,haben
duplizieren,dupliziert,haben
randomisieren,randomisiert,haben
differenzieren,differenziert,haben
dementieren,dementiert,haben
korrespondieren,korrespondiert,haben
ratifizieren,ratifiziert,haben
alarmieren,alarmiert,haben
schmeicheln,geschmeichelt,haben
informieren,informiert,haben
agitieren,agitiert,haben
editieren,editiert,haben
etablieren,etabliert,haben
wahren,gewahrt,haben
edieren,ediert,haben
ramifizieren,ramifiziert,haben
extrahieren,extrahiert,haben
bibbern,gebibbert,haben
elidieren,elidiert,haben
publizieren,publiziert,haben
verorten,verortet,haben
versetzen,versetzt,haben
erwahren,erwahrt,haben
deaktivieren,deaktiviert,haben
servieren,serviert,haben
pauschalisieren,pauschalisiert,haben
zugrunde legen,zugrunde gelegt,haben
absolvieren,absolviert,haben
amortisieren,amortisiert,haben
engagieren,engagiert,haben
arrangieren,arrangiert,haben
vorgehen,vorgegangen,sein
berechnen,berechnet,haben
opponieren,opponiert,haben
komponieren,komponiert,haben
reponieren,reponiert,haben
supponieren,supponiert,haben
anvisieren,anvisiert,haben
ersetzen,ersetzt,haben
komprimieren,komprimiert,haben
begreifen,begriffen,haben
aussetzen,ausgesetzt,haben
sorgen,gesorgt,haben
umsorgen,umsorgt,haben
entsorgen,entsorgt,haben
besorgen,besorgt,haben
vorsorgen,vorgesorgt,haben
bewirken,bewirkt,haben
mieten,gemietet,haben
begeistern,begeistert,haben
eröffnen,eröffnet,haben
blödeln,geblödelt,haben
verhalten,verhalten,haben
entthronen,entthront,haben
scheuen,gescheut,haben
zurückbleiben,zurückgeblieben,sein
vorschlagen,vorgeschlagen,haben
abholen,abgeholt,haben
kentern,gekentert,sein
entern,geentert,haben
wiedererlangen,wiedererlangt,haben
wegsehen,weggesehen,haben
ausschreiben,ausgeschrieben,haben
ausreden,ausgeredet,haben
verschreiben,verschrieben,haben
weglassen,weggelassen,haben
einordnen,eingeordnet,haben
zurücktreten,zurückgetreten,sein
einschlagen,eingeschlagen,haben
einkreisen,eingekreist,sein
weglegen,weggelegt,haben
fortlegen,fortgelegt,haben
beiseitelegen,beiseitegelegt,haben
gedeihen,gediehen,sein
darlegen,dargelegt,haben
zerschellen,zerschellt,sein
verlaufen,verlaufen,sein
belasten,belastet,haben
zusagen,zugesagt,haben
ausdehnen,ausgedehnt,haben
wegziehen,weggezogen,sein
erziehen,erzogen,haben
aufoktroyieren,aufoktroyiert,haben
fortgehen,fortgegangen,sein
vernachlässigen,vernachlässigt,haben
taugen,getaugt,haben
weilen,geweilt,haben
entkommen,entkommen,sein
durchsetzen,durchgesetzt,haben
zurückweisen,zurückgewiesen,haben
deklarieren,deklariert,haben
grölen,gegrölt,haben
mitkommen,mitgekommen,sein
umkommen,umgekommen,sein
verkommen,verkommen,sein
klirren,geklirrt,haben
auffassen,aufgefasst,haben
nachsetzen,nachgesetzt,haben
ähneln,geähnelt,haben
graben,gegraben,haben
umdrehen,umgedreht,haben
vorwegnehmen,vorweggenommen,haben
ausdenken,ausgedacht,haben
erdenken,erdacht,haben
gedenken,gedacht,haben
entheben,enthoben,haben
durchdenken,durchdacht,haben
weiterdenken,weitergedacht,haben
fortdenken,fortgedacht,haben
wegdenken,weggedacht,haben
hinausführen,hinausgeführt,haben
mimen,gemimt,haben
wühlen,gewühlt,haben
piepsen,gepiepst,haben
marschieren,marschiert,sein
kranken,gekrankt,haben
wiedergeben,wiedergegeben,haben
abfallen,abgefallen,sein
abhandeln,abgehandelt,haben
aushandeln,ausgehandelt,haben
verhandeln,verhandelt,haben
vorfallen,vorgefallen,sein
herabfallen,herabgefallen,sein
absegeln,abgesegelt,haben
ansegeln,angesegelt,haben
anschrauben,angeschraubt,haben
abtakeln,abgetakelt,haben
stabilisieren,stabilisiert,haben
deduzieren,deduziert,haben
mitnehmen,mitgenommen,haben
takeln,getakelt,haben
wippen,gewippt,haben
einwecken,eingeweckt,haben
dedizieren,dediziert,haben
hüten,gehütet,haben
durchbrechen,durchgebrochen,haben
divergieren,divergiert,haben
ausbrüten,ausgebrütet,haben
erquicken,erquickt,haben
abzeichnen,abgezeichnet,haben
nützen,genützt,haben
erobern,erobert,haben
konzipieren,konzipiert,haben
referieren,referiert,haben
agieren,agiert,haben
interpretieren,interpretiert,haben
kreißen,gekreißt,haben
begleiten,begleitet,haben
verdichten,verdichtet,haben
fügen,gefügt,haben
heraufkommen,heraufgekommen,sein
herausstellen,herausgestellt,haben
gegenüberstehen,gegenübergestanden,haben
zusammenstoßen,zusammengestoßen,sein
zerkauen,zerkaut,haben
fleuchen,gefleucht,sein
überleben,überlebt,haben
andrehen,angedreht,haben
füßeln,gefüßelt,haben
schmatzen,geschmatzt,haben
betreuen,betreut,haben
lohnen,gelohnt,haben
weiterverleihen,weiterverliehen,haben
kategorisieren,kategorisiert,haben
einkaufen,eingekauft,haben
puffen,gepufft,haben
fürchten,gefürchtet,haben
verdrängen,verdrängt,haben
kriseln,gekriselt,haben
resignieren,resigniert,haben
beklatschen,beklatscht,haben
meiden,gemieden,haben
verschlagen,verschlagen,haben
umbinden,umgebunden,haben
einlenken,eingelenkt,haben
entrauschen,entrauscht,haben
wagen,gewagt,haben
trauen,getraut,haben
abspritzen,abgespritzt,haben
bugsieren,bugsiert,haben
erwachsen,erwachsen,sein
freisetzen,freigesetzt,haben
trauern,getrauert,haben
unterstellen,unterstellt,haben
frönen,gefrönt,haben
unterlassen,unterlassen,haben
versieren,versiert,haben
relativieren,relativiert,haben
relegieren,relegiert,haben
zerfen,gezerft,haben
verankern,verankert,haben
verabreichen,verabreicht,haben
vermelden,vermeldet,haben
projektieren,projektiert,haben
speien,gespien,haben
konvertieren,konvertiert,haben
abbusseln,abgebusselt,haben
dekuvrieren,dekuvriert,haben
nerven,genervt,haben
verdrücken,verdrückt,haben
reagieren,reagiert,haben
bastardieren,bastardiert,haben
beschweren,beschwert,haben
derangieren,derangiert,haben
plagen,geplagt,haben
bevorzugen,bevorzugt,haben
gerieren,geriert,haben
saunieren,sauniert,haben
murksen,gemurkst,haben
abgeraten,abgeraten,sein
wecken,geweckt,haben
obliegen,oblegen,sein
schmausen,geschmaust,haben
mokieren,mokiert,haben
knutschen,geknutscht,haben
tropfen,getropft,haben
überfliegen,überflogen,haben
entpacken,entpackt,haben
verklappen,verklappt,haben
anhaben,angehabt,haben
spüren,gespürt,haben
spuren,gespurt,haben
akzentuieren,akzentuiert,haben
einziehen,eingezogen,haben
stärken,gestärkt,haben
kühlen,gekühlt,haben
vermindern,vermindert,haben
schultern,geschultert,haben
heischen,geheischt,haben
streuen,gestreut,haben
jubeln,gejubelt,haben
naturalisieren,naturalisiert,haben
botanisieren,botanisiert,haben
extemporieren,extemporiert,haben
beschaffen,beschafft,haben
hamstern,gehamstert,haben
provozieren,provoziert,haben
tendieren,tendiert,haben
mitdenken,mitgedacht,haben
bewohnen,bewohnt,haben
resümieren,resümiert,haben
destruieren,destruiert,haben
konstruieren,konstruiert,haben
tummeln,getummelt,haben
taumeln,getaumelt,haben
wanken,gewankt,haben
steinigen,gesteinigt,haben
kippen,gekippt,haben
überweisen,überwiesen,haben
barabern,barabert,haben
luschern,geluschert,haben
aushärten,ausgehärtet,haben
verschlagworten,verschlagwortet,haben
hübsch machen,hübsch gemacht,haben
girren,gegirrt,haben
schönen,geschönt,haben
knipsen,geknipst,haben
balancieren,balanciert,haben
umschreiben,umschrieben,haben
verproviantieren,verproviantiert,haben
gürten,gegürtet,haben
verschulden,verschuldet,haben
dissen,gedisst,haben
beschützen,beschützt,haben
tilgen,getilgt,haben
welschen,gewelscht,haben
niederschlagen,niedergeschlagen,haben
piesacken,gepiesackt,haben
innehalten,innegehalten,haben
vulkanisieren,vulkanisiert,haben
schinden,geschunden,haben
herausfinden,herausgefunden,haben
rasten,gerastet,haben
murren,gemurrt,haben
wettmachen,wettgemacht,haben
brandschatzen,gebrandschatzt,haben
konfektionieren,konfektioniert,haben
indignieren,indigniert,haben
zuknöpfen,zugeknöpft,haben
neiden,geneidet,haben
murmeln,gemurmelt,haben
lähmen,gelähmt,haben
leimen,geleimt,haben
kränken,gekränkt,haben
interviewen,interviewt,haben
irrigieren,irrigiert,haben
beaten,gebeatet,haben
abkindern,abgekindert,haben
illuminieren,illuminiert,haben
löchern,gelöchert,haben
löhnen,gelöhnt,haben
löten,gelötet,haben
konsternieren,konsterniert,haben
konzentrieren,konzentriert,haben
verkürzen,verkürzt,haben
ausspeichern,ausgespeichert,haben
rapportieren,rapportiert,haben
heroisieren,heroisiert,haben
linken,gelinkt,haben
zurückrufen,zurückgerufen,haben
hinrichten,hingerichtet,haben
auserkiesen,auserkoren,haben
strangulieren,stranguliert,haben
verschüren,verschürt,haben
ratschen,geratscht,haben
hausieren,hausiert,haben
stängeln,gestängelt,haben
fremdeln,gefremdelt,haben
würzen,gewürzt,haben
pfeffern,gepfeffert,haben
regeln,geregelt,haben
beschulen,beschult,haben
schulen,geschult,haben
degoutieren,degoutiert,haben
gastieren,gastiert,haben
pachten,gepachtet,haben
passivieren,passiviert,haben
pferchen,gepfercht,haben
schrecken,geschreckt,haben
prozessieren,prozessiert,haben
rütteln,gerüttelt,haben
kreieren,kreiert,haben
inhalieren,inhaliert,haben
regenerieren,regeneriert,haben
zähmen,gezähmt,haben
