Infinitive,Partizip II,Hilfsverb
handeln,gehandelt,haben
kosten,gekostet,haben
ameliorieren,amelioriert,haben
verabschieden,verabschiedet,haben
tradieren,tradiert,haben
wirken,gewirkt,haben
beherbergen,beherbergt,haben
bumsen,gebumst,haben
desavouieren,desavouiert,haben
kolportieren,kolportiert,haben
fundieren,fundiert,haben
heucheln,geheuchelt,haben
saufen,gesoffen,haben
backen,gebacken,haben
scheißen,geschissen,haben
recherchieren,recherchiert,haben
konfundieren,konfundiert,haben
abbacken,abgebacken,haben
befangen,befangen,haben
antichambrieren,antichambriert,haben
schöpfen,geschöpft,haben
überlegen,überlegt,haben
spielen,gespielt,haben
prolongieren,prolongiert,haben
evaluieren,evaluiert,haben
exponieren,exponiert,haben
ülmen,geülmt,haben
stilisieren,stilisiert,haben
funzen,gefunzt,haben
konstituieren,konstituiert,haben
riskieren,riskiert,haben
gewinnen,gewonnen,haben
fallen,gefallen,sein
reiten,geritten,sein
füttern,gefüttert,haben
besuchen,besucht,haben
frieren,gefroren,haben
leben,gelebt,haben
fungieren,fungiert,haben
indoktrinieren,indoktriniert,haben
ausmerzen,ausgemerzt,haben
reglementieren,reglementiert,haben
schälen,geschält,haben
beseitigen,beseitigt,haben
auseinandersetzen,auseinandergesetzt,haben
saugen,gesaugt,haben
implizieren,impliziert,haben
kaskadieren,kaskadiert,haben
raiden,geraidet,haben
aliquotieren,aliquotiert,haben
foppen,gefoppt,haben
ändern,geändert,haben
transformieren,transformiert,haben
kompromittieren,kompromittiert,haben
zahlen,gezahlt,haben
dingen,gedungen,haben
spinnen,gesponnen,haben
spleißen,gesplissen,haben
verklären,verklärt,haben
stippen,gestippt,haben
medisieren,medisiert,haben
paraphieren,paraphiert,haben
proggen,geproggt,haben
beobachten,beobachtet,haben
daddeln,gedaddelt,haben
einen,geeint,haben
sistieren,sistiert,haben
monetarisieren,monetarisiert,haben
beschälen,beschält,haben
reüssieren,reüssiert,haben
absorbieren,absorbiert,haben
chillen,gechillt,haben
lancieren,lanciert,haben
antizipieren,antizipiert,haben
hasardieren,hasardiert,haben
adsorbieren,adsorbiert,haben
intervenieren,interveniert,haben
pushen,gepusht,haben
annektieren,annektiert,haben
streichen,gestrichen,haben
reisen,gereist,sein
krakeelen,krakeelt,haben
postulieren,postuliert,haben
innervieren,innerviert,haben
schwätzen,geschwätzt,haben
massolieren,massoliert,haben
restringieren,restringiert,haben
onanieren,onaniert,haben
denunzieren,denunziert,haben
laktieren,laktiert,haben
verballhornen,verballhornt,haben
defilieren,defiliert,haben
knetschen,geknetscht,sein
mailen,gemailt,haben
perennieren,perenniert,sein
substantivieren,substantiviert,haben
abändern,abgeändert,haben
abbaden,abgebadet,haben
abbalgen,abgebalgt,haben
abbaken,abgebakt,haben
abbalzen,abgebalzt,haben
abbangen,abgebangt,haben
abbasten,abgebastet,haben
abbeißen,abgebissen,haben
requirieren,requiriert,haben
abbegehren,abbegehrt,haben
abbeeren,abgebeert,haben
abbefehlen,abbefohlen,haben
abbeizen,abgebeizt,haben
abbekommen,abbekommen,haben
abberufen,abberufen,haben
ennuyieren,ennuyiert,haben
sengen,gesengt,haben
ownen,geownt,haben
tangieren,tangiert,haben
insistieren,insistiert,haben
übersetzen,übersetzt,haben
finden,gefunden,haben
substituieren,substituiert,haben
abschmirgeln,abgeschmirgelt,haben
schmirgeln,geschmirgelt,haben
konzedieren,konzediert,haben
bereitstellen,bereitgestellt,haben
derogieren,derogiert,haben
gebrechen,gebrochen,haben
kuschen,gekuscht,haben
sagen,gesagt,haben
korrigieren,korrigiert,haben
dünken,gedünkt,haben
resorbieren,resorbiert,haben
kacken,gekackt,haben
akquirieren,akquiriert,haben
triggern,getriggert,haben
internalisieren,internalisiert,haben
usurpieren,usurpiert,haben
vermasseln,vermasselt,haben
loben,gelobt,haben
tadeln,getadelt,haben
riechen,gerochen,haben
schmecken,geschmeckt,haben
singen,gesungen,haben
bringen,gebracht,haben
schimpfen,geschimpft,haben
tragen,getragen,haben
epilieren,epiliert,haben
kooptieren,kooptiert,haben
vorstellen,vorgestellt,haben
verschallen,verschollen,sein
widersprechen,widersprochen,haben
brennen,gebrannt,haben
dislozieren,disloziert,haben
subsumieren,subsumiert,haben
evozieren,evoziert,haben
kennen,gekannt,haben
nageln,genagelt,haben
befehlen,befohlen,haben
zapfen,gezapft,haben
beginnen,begonnen,haben
profitieren,profitiert,haben
revozieren,revoziert,haben
konsolidieren,konsolidiert,haben
bitten,gebeten,haben
bewegen,bewegt,haben
wenden,gewandt,haben
fahren,gefahren,sein
betrügen,betrogen,haben
halbieren,halbiert,haben
tun,getan,haben
erfahren,erfahren,haben
hussen,gehusst,haben
pennen,gepennt,haben
verwursten,verwurstet,haben
